8264|0751|G|7
751|264|G|1
8264|075|G|1
147|802|G|7
036|81|G|2
036|821|G|3
826|036|G|3
036|82|G|3
8264|031|G|1
8261|0345|G|1
8236|01547|G|1
82615|0347|G|1
02|147|G|1
02|147|G|1
02|147|G|1
147|02|G|6
840|17|G|1
84236|1057|G|1
0264|813|G|6
462|01|G|1
453|01|G|1
8025|413|G|1
417|80|G|1
417|802|G|2
4157|8023|G|1
0136|824|G|2
8012|567|G|1
8246|0135|G|1
82615|0374|G|1
0463|812|G|1
8215|043|G|1
426|80|G|3
426|801|G|2
462|801|G|1
453|801|G|10
2864|701|G|1
2674|8013|G|1
840|12|G|1
2876|4013|G|1
8367|4501|G|3
867|450|G|7
786|401|G|2
687|01|G|1
0246|813|G|2
0563|812|G|1
063|81|G|2
46135|0276|G|1
582|401|G|2
3258|4016|G|1
264|75|G|1
40135|7211|G|1
45026|8317|G|1
1867|4023|G|2
40236|1875|G|1
2875|4013|G|1
426|01|G|6
426|03|G|5
426|07|G|6
426|05|G|6
426|08|G|6
0354|821|G|1
786|20|G|2
867|40|G|1
4012|686|G|1
345|01|G|1
768|20|G|1
063|421|G|1
